,ID,Ortsteil,Bezirk,Typ,Bezeichnung,Ensemble_Info,Zugehörigkeit,Adresse,Adresse2,Architekt und weitere Informationen,Jahr
2989,09045472,LIC/AHOHS-E,Lichtenberg,Ensemble,"Wohnhaus, Stallgebäude",Ensemble-Bestandteil,,Hauptstraße 47,,,1857
2990,09045473,LIC/AHOHS-E,Lichtenberg,Ensemble,Scheune und Stall,Ensemble-Bestandteil,,Hauptstraße 48,,,1850 und 1890
2991,09040300,LIC/LIBER-E,Lichtenberg,Ensemble,ehem. Städtische Irrenanstalt Herzberge,Ensemble-Bestandteil,Gesamtanlage siehe: Herzbergstraße 79 - Gartendenkmal siehe: Herzbergstraße 79,Herzbergstraße 79, Allee der Kosmonauten ,"Hermann Blankenstein, Erweiterungen nach 1903 (D)",1889-93 und 1903
2992,09040305,LIC/LIBER-E,Lichtenberg,Ensemble,um,Ensemble-Bestandteil,,Denkmal 8. Mai 1945,,,1945 und 1950
2993,09040306,LIC/LIBER-E,Lichtenberg,Ensemble,Borsig-Kessel von,Ensemble-Bestandteil,,Kessel- und Maschinenhaus,,"Hermann Blankenstein, Aufstockung nach 1945, Borsig-Kessel von 1892 und 1938; Maschinenmeisterwohnhaus, Nebengebäude, um 1890",1890 und 1945 und 1892 und 1938 und 1890
2994,09040626,LIC/LIBER-E,Lichtenberg,Ensemble,Kegelbahn,Ensemble-Bestandteil,,Kegelbahn,,,1890
2995,09040627,LIC/LIBER-E,Lichtenberg,Ensemble,Krankenbaracke,Ensemble-Bestandteil,,Krankenbaracke,,,1930
2996,09040302,LIC/LIBER-E,Lichtenberg,Baudenkmal,Kuhstall,Ensemble-Bestandteil,,Allee der Kosmonauten 23,,,1892 und 1903 und 2000
2997,09040319,LIC/LIBER-E,Lichtenberg,Ensemble,Konsumgenossenschaft Berlin und Umgegend,Ensemble-Bestandteil,Gesamtanlage siehe: Josef-Orlopp-Straße 44/52 - Baudenkmale siehe: Josef-Orlopp-Straße 34/36; 38/42; 56; Ruschestraße 64/70,Josef-Orlopp-Straße 32/54,"Bornitzstraße - Ruschestraße 55-63, 64/70","Leberecht P. Ehricht, Fritz Wettstein und Otto Wettstein (D) ",1910-30
2998,09040327,LIC/LIBER-E,Lichtenberg,Ensemble,"Vorderhaus, Wurstfabrik",Ensemble-Bestandteil,,Josef-Orlopp-Straße 54,,,1910
2999,09040324,LIC/LIBER-E,Lichtenberg,Ensemble,Erste Bäckerei,Ensemble-Bestandteil,,,,Leberecht P. Ehricht ,1910-11
3000,09040325,LIC/LIBER-E,Lichtenberg,Ensemble,Lagergebäude,Ensemble-Bestandteil,,,,Leberecht P. Ehricht ,1910-11
3001,09040335,LIC/LIBER-E,Lichtenberg,Ensemble,Kesselhaus mit Schornstein,Ensemble-Bestandteil,,,,Otto Wettstein ,1928-29
3002,09040326,LIC/LIBER-E,Lichtenberg,Ensemble,Wurstfabrik,Ensemble-Bestandteil,,,,Fritz Wettstein ,1927-28
3003,09085100,LIC/KARLH-E,Lichtenberg,Ensemble,Siedlungshäuser (D),Ensemble-Bestandteil,Baudenkmal siehe: Lehndorffstraße 10,"Lehndorffstraße 3, 7-8, 10",,,
3004,09085101,LIC/KARLH-E,Lichtenberg,Ensemble,Siedlungshaus,Ensemble-Bestandteil,,Lehndorffstraße 3,,,1895
3005,09085102,LIC/KARLH-E,Lichtenberg,Ensemble,Siedlungshaus,Ensemble-Bestandteil,,Lehndorffstraße 7,,,1895
3006,09085103,LIC/KARLH-E,Lichtenberg,Ensemble,Siedlungshaus,Ensemble-Bestandteil,,Lehndorffstraße 8,,,1895
3007,09085105,LIC/KARLH-E,Lichtenberg,Ensemble,Siedlungshäuser,Ensemble-Bestandteil,Baudenkmal siehe: Liepnitzstraße 8,"Liepnitzstraße 6, 8, 12, 13, 16",,,
3008,09085106,LIC/KARLH-E,Lichtenberg,Ensemble,Siedlungshaus,Ensemble-Bestandteil,,Liepnitzstraße 6,,,1895
3009,09085108,LIC/KARLH-E,Lichtenberg,Ensemble,Siedlungshaus,Ensemble-Bestandteil,,Liepnitzstraße 12,,,1895
3010,09085109,LIC/KARLH-E,Lichtenberg,Ensemble,"Siedlungshaus, vor",Ensemble-Bestandteil,,Liepnitzstraße 13,,,1900
3011,09085110,LIC/KARLH-E,Lichtenberg,Ensemble,Siedlungshaus,Ensemble-Bestandteil,,Liepnitzstraße 16,,,1899
3012,09040221,LIC/LIBER-E,Lichtenberg,Ensemble,"Loeperplatz, Dorfanger mit Freiflächen und Bildwerken sowie umgebender Bebauung (D)",Ensemble-Bestandteil,"Baudenkmale siehe: Loeperplatz, Dorfkirche Lichtenberg; Denkmal „Der Sämann“; Möllendorffstraße 33",Loeperplatz,"Heringer Straße 22 - Kielblockstraße 1-1A, 2 - Möllendorffstraße 23-24, 27, 32-33, 86-93 - Rutnickstraße 1/5 - Scheffelstraße 1, 45",,
3013,09040236,LIC/LIBER-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Heringer Straße 22 / Möllendorffstraße 23-24 / Rutnickstraße 1/5,,,1955
3014,09040237,LIC/LIBER-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kielblockstraße 1-1A,,,1930
3015,09040238,LIC/LIBER-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kielblockstraße 2,,,1914
3016,09040241,LIC/LIBER-E,Lichtenberg,Ensemble,"Loeperplatz, Gedenkstätte der antifaschistischen Widerstandskämpfer",Ensemble-Bestandteil,,Loeperplatz,,,1950
3017,09040248,LIC/LIBER-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Möllendorffstraße 27,,,1914-15
3018,09040250,LIC/LIBER-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Möllendorffstraße 32,,,1905-07
3019,09040254,LIC/LIBER-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Möllendorffstraße 86-87 / Scheffelstraße 1,,,1905
3020,09040255,LIC/LIBER-E,Lichtenberg,Ensemble,Wohnanlage,Ensemble-Bestandteil,,Möllendorffstraße 88-89 / Scheffelstraße 45,,,1928-29
3021,09040256,LIC/LIBER-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Möllendorffstraße 90-91,,,1959
3022,09040257,LIC/LIBER-E,Lichtenberg,Ensemble,um,Ensemble-Bestandteil,,Möllendorffstraße 92-93,,,1930
3023,09040179,LIC/RUMBG-E,Lichtenberg,Ensemble,Kolonistenhäuser (D),Ensemble-Bestandteil,Baudenkmale siehe: Lückstraße 18; 20 - (LIC/RUMBG-E),Lückstraße 18-20,,,
3024,09045494,LIC/AHOHS-E,Lichtenberg,Ensemble,Wohnhäuser,Ensemble-Bestandteil,Baudenkmal siehe: Manetstraße 76,"Manetstraße 72/78, 82",,,
3025,09045495,LIC/AHOHS-E,Lichtenberg,Ensemble,Doppelhaus mit Vorgarteneinfriedung,Ensemble-Bestandteil,,Manetstraße 72/74,,Johannes Küchenmeister ,1906-07
3026,09045498,LIC/AHOHS-E,Lichtenberg,Ensemble,Stadtvilla,Ensemble-Bestandteil,,Manetstraße 78,,Wilhelm Trenner ,1901
3027,09045499,LIC/AHOHS-E,Lichtenberg,Ensemble,Mietshaus mit Vorgarteneinfriedung,Ensemble-Bestandteil,,Manetstraße 82,,Lachmann und Zauber ,1901
3028,09040184,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshäuser,Ensemble-Bestandteil,,Margaretenstraße 5-6, Bestandteile des Ensembles: ,,1890
3029,09040185,LIC/RUMBG-E,Lichtenberg,Ensemble,"Mietshaus mit Treppenhausmalerei; Hof mit Remise, Schuppen und Mauern",Ensemble-Bestandteil,,Margaretenstraße 5,,,1890
3030,09040186,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus und Hofgebäude,Ensemble-Bestandteil,,Margaretenstraße 6,,,1890
3031,09045502,LIC/AHOHS-E,Lichtenberg,Ensemble,Landhäuser,Ensemble-Bestandteil,Baudenkmal siehe: Oberseestraße 58/60,Oberseestraße 50/60,,,1930-35
3032,09045505,LIC/AHOHS-E,Lichtenberg,Ensemble,Landhaus,Ensemble-Bestandteil,,Oberseestraße 52,,W. Zemke ,1933
3033,09045506,LIC/AHOHS-E,Lichtenberg,Ensemble,Landhaus,Ensemble-Bestandteil,,Oberseestraße 56,,,1938
3034,09040222,LIC/LIBER-E,Lichtenberg,Ensemble,Wohn- und öffentliche Bauten am Stadtpark Lichtenberg,Ensemble-Bestandteil,"Baudenkmale siehe: Deutschmeisterstraße 16/28, Parkaue 24/34; 23/29",Baudenkmale siehe: Deutschmeisterstraße 16/28,Am Stadtpark 2-3 - Deutschmeisterstraße 16/28 - Möllendorffstraße 108-109 - Straße 77,,1910-16 und 1948-50
3035,09040223,LIC/LIBER-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Am Stadtpark 2-3,,Albert Schild ,1915-16
3036,09040258,LIC/LIBER-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Möllendorffstraße 108-109 / Parkaue 36,,,1912-13
3037,09095234,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshäuser mit Kuhgraben (D),Ensemble-Bestandteil,Baudenkmale siehe: Kaskelstraße 13; Kernhofer Straße 16; Pfarrstraße 91 - Konstituierende Bestandteile des Ensembles:,"Pfarrstraße 87-94, 96-98, 100-104, 106-108, 110-114, 116-140, 142, 144/146","Hauffstraße 2-4 - Kaskelstraße 4, 5/9, 10-16, 17, 19, 21, 22/24 - Kernhofer Straße 1-16",,
3038,09095321,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Hauffstraße 2,,,1900
3039,09095322,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Hauffstraße 3,,,1900
3040,09095310,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kaskelstraße 4,,,1891
3041,09095311,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kaskelstraße 5,,,1893
3042,09095312,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus und Remise,Ensemble-Bestandteil,,Kaskelstraße 7,,,1891
3043,09095314,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kaskelstraße 15,,,1891 und 1895
3044,09095315,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus mit Nebengebäuden,Ensemble-Bestandteil,,Kaskelstraße 17,,,1890
3045,09095316,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus und Werkstatt,Ensemble-Bestandteil,,Kaskelstraße 19,,,1890
3046,09095317,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kaskelstraße 21,,,1891
3047,09095319,LIC/RUMBG-E,Lichtenberg,Ensemble,"Mietshaus, Quergebäude",Ensemble-Bestandteil,,Kaskelstraße 24,,,1889
3048,09095276,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 1/3 / Kaskelstraße 22,,,1893
3049,09095277,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 2 / Kaskelstraße 14/16,,,1891
3050,09095278,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 4,,,1889
3051,09095279,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 5,,,1889
3052,09095280,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 6,,,1889
3053,09095281,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 7,,,1889
3054,09095282,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 9,,,1888
3055,09095283,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 11,,,1889
